customer_id,first_name,last_name,email,address,district,city,country,postal_code,phone,activebool,create_date,active
13,Karen,Jackson,karen.jackson@sakilacustomer.org,270 Amroha Parkway,Osmaniye,Osmaniye,Turkey,29610.0,695480000000.0,t,2006-02-14,1
14,Betty,White,betty.white@sakilacustomer.org,770 Bydgoszcz Avenue,California,Citrus Heights,United States,16266.0,517338000000.0,t,2006-02-14,1
15,Helen,Harris,helen.harris@sakilacustomer.org,419 Iligan Lane,Madhya Pradesh,Bhopal,India,72878.0,990911000000.0,t,2006-02-14,1
16,Sandra,Martin,sandra.martin@sakilacustomer.org,360 Toulouse Parkway,England,Southend-on-Sea,United Kingdom,54308.0,949312000000.0,t,2006-02-14,0
17,Donna,Thompson,donna.thompson@sakilacustomer.org,270 Toulon Boulevard,Kalmykia,Elista,Russian Federation,81766.0,407752000000.0,t,2006-02-14,1
18,Carol,Garcia,carol.garcia@sakilacustomer.org,320 Brest Avenue,Kaduna,Kaduna,Nigeria,43331.0,747792000000.0,t,2006-02-14,1
19,Ruth,Martinez,ruth.martinez@sakilacustomer.org,1417 Lancaster Avenue,Northern Cape,Kimberley,South Africa,72192.0,272572000000.0,t,2006-02-14,1
20,Sharon,Robinson,sharon.robinson@sakilacustomer.org,1688 Okara Way,Nothwest Border Prov,Mardan,Pakistan,21954.0,144454000000.0,t,2006-02-14,1
21,Michelle,Clark,michelle.clark@sakilacustomer.org,262 A Corua (La Corua) Parkway,Dhaka,Tangail,Bangladesh,34418.0,892776000000.0,t,2006-02-14,1
22,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,Sal,Morocco,37551.0,161968000000.0,t,2006-02-14,1
23,Sarah,Lewis,sarah.lewis@sakilacustomer.org,1780 Hino Boulevard,Liepaja,Liepaja,Latvia,7716.0,902731000000.0,t,2006-02-14,1
24,Kimberly,Lee,kimberly.lee@sakilacustomer.org,96 Tafuna Way,Crdoba,Crdoba,Argentina,99865.0,934730000000.0,t,2006-02-14,1
25,Deborah,Walker,deborah.walker@sakilacustomer.org,934 San Felipe de Puerto Plata Street,Sind,Shikarpur,Pakistan,99780.0,196496000000.0,t,2006-02-14,1
26,Jessica,Hall,jessica.hall@sakilacustomer.org,18 Duisburg Boulevard,"""""""""""""",Citt del Vaticano,Holy See (Vatican City State),58327.0,998010000000.0,t,2006-02-14,1
27,Shirley,Allen,shirley.allen@sakilacustomer.org,217 Botshabelo Place,Southern Mindanao,Davao,Philippines,49521.0,665357000000.0,t,2006-02-14,1
28,Cynthia,Young,cynthia.young@sakilacustomer.org,1425 Shikarpur Manor,Bihar,Munger (Monghyr),India,65599.0,678221000000.0,t,2006-02-14,1
29,Angela,Hernandez,angela.hernandez@sakilacustomer.org,786 Aurora Avenue,Yamaguchi,Shimonoseki,Japan,65750.0,18461900000.0,t,2006-02-14,1
30,Melissa,King,melissa.king@sakilacustomer.org,1668 Anpolis Street,Taipei,Lungtan,Taiwan,50199.0,525256000000.0,t,2006-02-14,1
31,Brenda,Wright,brenda.wright@sakilacustomer.org,33 Gorontalo Way,West Bengali,Kamarhati,India,30348.0,745995000000.0,t,2006-02-14,1
32,Amy,Lopez,amy.lopez@sakilacustomer.org,176 Mandaluyong Place,Uttar Pradesh,Jhansi,India,65213.0,627706000000.0,t,2006-02-14,1
33,Anna,Hill,anna.hill@sakilacustomer.org,127 Purnea (Purnia) Manor,Piemonte,Alessandria,Italy,79388.0,911872000000.0,t,2006-02-14,1
34,Rebecca,Scott,rebecca.scott@sakilacustomer.org,61 Tama Street,Okayama,Kurashiki,Japan,94065.0,708403000000.0,t,2006-02-14,1
35,Virginia,Green,virginia.green@sakilacustomer.org,391 Callao Drive,Midi-Pyrnes,Toulouse,France,34021.0,440512000000.0,t,2006-02-14,1
36,Kathleen,Adams,kathleen.adams@sakilacustomer.org,334 Munger (Monghyr) Lane,Markazi,Arak,Iran,38145.0,481183000000.0,t,2006-02-14,1
37,Pamela,Baker,pamela.baker@sakilacustomer.org,1440 Fukuyama Loop,Henan,Nanyang,China,47929.0,912257000000.0,t,2006-02-14,1
38,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,269 Cam Ranh Parkway,Chisinau,Chisinau,Moldova,34689.0,489784000000.0,t,2006-02-14,1
39,Debra,Nelson,debra.nelson@sakilacustomer.org,306 Antofagasta Place,Esprito Santo,Vila Velha,Brazil,3989.0,378319000000.0,t,2006-02-14,1
40,Amanda,Carter,amanda.carter@sakilacustomer.org,671 Graz Street,Oriental,Nador,Morocco,94399.0,680769000000.0,t,2006-02-14,1
41,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,42 Brindisi Place,Yerevan,Yerevan,Armenia,16744.0,42384700000.0,t,2006-02-14,1
42,Carolyn,Perez,carolyn.perez@sakilacustomer.org,1632 Bislig Avenue,Nonthaburi,Pak Kret,Thailand,61117.0,471676000000.0,t,2006-02-14,1
43,Christine,Roberts,christine.roberts@sakilacustomer.org,1447 Imus Way,Tahiti,Faaa,French Polynesia,48942.0,539758000000.0,t,2006-02-14,1
44,Marie,Turner,marie.turner@sakilacustomer.org,1998 Halifax Drive,Lipetsk,Lipetsk,Russian Federation,76022.0,177728000000.0,t,2006-02-14,1
45,Janet,Phillips,janet.phillips@sakilacustomer.org,1718 Valencia Street,Antofagasta,Antofagasta,Chile,37359.0,675293000000.0,t,2006-02-14,1
46,Catherine,Campbell,catherine.campbell@sakilacustomer.org,46 Pjatigorsk Lane,Moscow (City),Moscow,Russian Federation,23616.0,262077000000.0,t,2006-02-14,1
47,Frances,Parker,frances.parker@sakilacustomer.org,686 Garland Manor,Cear,Juazeiro do Norte,Brazil,52535.0,69493400000.0,t,2006-02-14,1
48,Ann,Evans,ann.evans@sakilacustomer.org,909 Garland Manor,Tatarstan,Niznekamsk,Russian Federation,69367.0,705800000000.0,t,2006-02-14,1
49,Joyce,Edwards,joyce.edwards@sakilacustomer.org,725 Isesaki Place,Mekka,Jedda,Saudi Arabia,74428.0,876295000000.0,t,2006-02-14,1
50,Diane,Collins,diane.collins@sakilacustomer.org,115 Hidalgo Parkway,Khartum,Omdurman,Sudan,80168.0,307704000000.0,t,2006-02-14,1
51,Alice,Stewart,alice.stewart@sakilacustomer.org,1135 Izumisano Parkway,California,Fontana,United States,48150.0,171823000000.0,t,2006-02-14,1
52,Julie,Sanchez,julie.sanchez@sakilacustomer.org,939 Probolinggo Loop,Galicia,A Corua (La Corua),Spain,4166.0,680428000000.0,t,2006-02-14,1
53,Heather,Morris,heather.morris@sakilacustomer.org,17 Kabul Boulevard,Chiba,Nagareyama,Japan,38594.0,697761000000.0,t,2006-02-14,1
54,Teresa,Rogers,teresa.rogers@sakilacustomer.org,1964 Allappuzha (Alleppey) Street,Yamaguchi,Iwakuni,Japan,48980.0,920811000000.0,t,2006-02-14,1
55,Doris,Reed,doris.reed@sakilacustomer.org,1697 Kowloon and New Kowloon Loop,Moskova,Balaiha,Russian Federation,57807.0,499352000000.0,t,2006-02-14,1
56,Gloria,Cook,gloria.cook@sakilacustomer.org,1668 Saint Louis Place,Tahiti,Papeete,French Polynesia,39072.0,347488000000.0,t,2006-02-14,1
57,Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,943 Tokat Street,Vaduz,Vaduz,Liechtenstein,45428.0,889319000000.0,t,2006-02-14,1
58,Jean,Bell,jean.bell@sakilacustomer.org,1114 Liepaja Street,Sarawak,Kuching,Malaysia,69226.0,212869000000.0,t,2006-02-14,1
59,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,1213 Ranchi Parkway,Karnataka,Mysore,India,94352.0,800024000000.0,t,2006-02-14,1
60,Mildred,Bailey,mildred.bailey@sakilacustomer.org,81 Hodeida Way,Rajasthan,Jaipur,India,55561.0,250768000000.0,t,2006-02-14,1
61,Katherine,Rivera,katherine.rivera@sakilacustomer.org,915 Ponce Place,Basel-Stadt,Basel,Switzerland,83980.0,1395250000.0,t,2006-02-14,1
62,Joan,Cooper,joan.cooper@sakilacustomer.org,1717 Guadalajara Lane,Missouri,Saint Louis,United States,85505.0,914090000000.0,t,2006-02-14,1
63,Ashley,Richardson,ashley.richardson@sakilacustomer.org,1214 Hanoi Way,Nebraska,Lincoln,United States,67055.0,491001000000.0,t,2006-02-14,1
64,Judith,Cox,judith.cox@sakilacustomer.org,1966 Amroha Avenue,Sichuan,Daxian,China,70385.0,333489000000.0,t,2006-02-14,0
65,Rose,Howard,rose.howard@sakilacustomer.org,698 Otsu Street,Cayenne,Cayenne,French Guiana,71110.0,409984000000.0,t,2006-02-14,1
66,Janice,Ward,janice.ward@sakilacustomer.org,1150 Kimchon Manor,Skne ln,Malm,Sweden,96109.0,663449000000.0,t,2006-02-14,1
67,Kelly,Torres,kelly.torres@sakilacustomer.org,1586 Guaruj Place,Hunan,Xiangtan,China,5135.0,947233000000.0,t,2006-02-14,1
68,Nicole,Peterson,nicole.peterson@sakilacustomer.org,57 Arlington Manor,Madhya Pradesh,Shivapuri,India,48960.0,990214000000.0,t,2006-02-14,1
69,Judy,Gray,judy.gray@sakilacustomer.org,1031 Daugavpils Parkway,Bchar,Bchar,Algeria,59025.0,107137000000.0,t,2006-02-14,1
70,Christina,Ramirez,christina.ramirez@sakilacustomer.org,1124 Buenaventura Drive,Mekka,al-Hawiya,Saudi Arabia,6856.0,407734000000.0,t,2006-02-14,1
71,Kathy,James,kathy.james@sakilacustomer.org,492 Cam Ranh Street,Eastern Visayas,Baybay,Philippines,50805.0,565018000000.0,t,2006-02-14,1
72,Theresa,Watson,theresa.watson@sakilacustomer.org,89 Allappuzha (Alleppey) Manor,National Capital Reg,Taguig,Philippines,75444.0,255800000000.0,t,2006-02-14,1
73,Beverly,Brooks,beverly.brooks@sakilacustomer.org,1947 Poos de Caldas Boulevard,Chiayi,Chiayi,Taiwan,60951.0,427454000000.0,t,2006-02-14,1
74,Denise,Kelly,denise.kelly@sakilacustomer.org,1206 Dos Quebradas Place,So Paulo,Rio Claro,Brazil,20207.0,241833000000.0,t,2006-02-14,1
75,Tammy,Sanders,tammy.sanders@sakilacustomer.org,1551 Rampur Lane,Changhwa,Changhwa,Taiwan,72394.0,251164000000.0,t,2006-02-14,1
76,Irene,Price,irene.price@sakilacustomer.org,602 Paarl Street,Pavlodar,Pavlodar,Kazakstan,98889.0,896315000000.0,t,2006-02-14,1
77,Jane,Bennett,jane.bennett@sakilacustomer.org,1692 Ede Loop,So Paulo,Araatuba,Brazil,9223.0,918711000000.0,t,2006-02-14,1
78,Lori,Wood,lori.wood@sakilacustomer.org,936 Salzburg Lane,Uttar Pradesh,Rae Bareli,India,96709.0,875757000000.0,t,2006-02-14,1
79,Rachel,Barnes,rachel.barnes@sakilacustomer.org,586 Tete Way,Kanagawa,Kamakura,Japan,1079.0,18581600000.0,t,2006-02-14,1
80,Marilyn,Ross,marilyn.ross@sakilacustomer.org,1888 Kabul Drive,Oyo & Osun,Ife,Nigeria,20936.0,701457000000.0,t,2006-02-14,1
81,Andrea,Henderson,andrea.henderson@sakilacustomer.org,320 Baiyin Parkway,Mahajanga,Mahajanga,Madagascar,37307.0,223665000000.0,t,2006-02-14,1
82,Kathryn,Coleman,kathryn.coleman@sakilacustomer.org,927 Baha Blanca Parkway,Krim,Simferopol,Ukraine,9495.0,821972000000.0,t,2006-02-14,1
83,Louise,Jenkins,louise.jenkins@sakilacustomer.org,929 Tallahassee Loop,Gauteng,Springs,South Africa,74671.0,800717000000.0,t,2006-02-14,1
84,Sara,Perry,sara.perry@sakilacustomer.org,125 Citt del Vaticano Boulevard,Puebla,Atlixco,Mexico,67912.0,48417600000.0,t,2006-02-14,1
85,Anne,Powell,anne.powell@sakilacustomer.org,1557 Ktahya Boulevard,England,Bradford,United Kingdom,88002.0,720998000000.0,t,2006-02-14,1
86,Jacqueline,Long,jacqueline.long@sakilacustomer.org,870 Ashqelon Loop,Songkhla,Songkhla,Thailand,84931.0,135117000000.0,t,2006-02-14,1
87,Wanda,Patterson,wanda.patterson@sakilacustomer.org,1740 Portoviejo Avenue,Sucre,Sincelejo,Colombia,29932.0,198123000000.0,t,2006-02-14,1
88,Bonnie,Hughes,bonnie.hughes@sakilacustomer.org,1942 Ciparay Parkway,Cheju,Cheju,South Korea,82624.0,978987000000.0,t,2006-02-14,1
89,Julia,Flores,julia.flores@sakilacustomer.org,1926 El Alto Avenue,Buenos Aires,La Plata,Argentina,75543.0,846225000000.0,t,2006-02-14,1
90,Ruby,Washington,ruby.washington@sakilacustomer.org,1952 Chatsworth Drive,Guangdong,Meixian,China,25958.0,991562000000.0,t,2006-02-14,1
91,Lois,Butler,lois.butler@sakilacustomer.org,1370 Le Mans Avenue,Brunei and Muara,Bandar Seri Begawan,Brunei,52163.0,345680000000.0,t,2006-02-14,1
92,Tina,Simmons,tina.simmons@sakilacustomer.org,984 Effon-Alaiye Avenue,Gois,Goinia,Brazil,17119.0,132987000000.0,t,2006-02-14,1
93,Phyllis,Foster,phyllis.foster@sakilacustomer.org,832 Nakhon Sawan Manor,Inner Mongolia,Zalantun,China,49021.0,275596000000.0,t,2006-02-14,1
94,Norma,Gonzales,norma.gonzales@sakilacustomer.org,152 Kitwe Parkway,Caraga,Bislig,Philippines,53182.0,835434000000.0,t,2006-02-14,1
95,Paula,Bryant,paula.bryant@sakilacustomer.org,1697 Tanauan Lane,Punjab,Pathankot,India,22870.0,4764770000.0,t,2006-02-14,1
96,Diana,Alexander,diana.alexander@sakilacustomer.org,1308 Arecibo Way,Georgia,Augusta-Richmond County,United States,30695.0,6171050000.0,t,2006-02-14,1
97,Annie,Russell,annie.russell@sakilacustomer.org,1599 Plock Drive,Tete,Tete,Mozambique,71986.0,817249000000.0,t,2006-02-14,1
98,Lillian,Griffin,lillian.griffin@sakilacustomer.org,669 Firozabad Loop,Abu Dhabi,al-Ayn,United Arab Emirates,92265.0,412903000000.0,t,2006-02-14,1
99,Emily,Diaz,emily.diaz@sakilacustomer.org,588 Vila Velha Manor,Kyongsangbuk,Kimchon,South Korea,51540.0,333340000000.0,t,2006-02-14,1
100,Robin,Hayes,robin.hayes@sakilacustomer.org,1913 Kamakura Place,Lipetsk,Jelets,Russian Federation,97287.0,942571000000.0,t,2006-02-14,1
101,Peggy,Myers,peggy.myers@sakilacustomer.org,733 Mandaluyong Place,Asir,Abha,Saudi Arabia,77459.0,196568000000.0,t,2006-02-14,1
102,Crystal,Ford,crystal.ford@sakilacustomer.org,659 Vaduz Drive,Ha Darom,Ashdod,Israel,49708.0,709935000000.0,t,2006-02-14,1
103,Gladys,Hamilton,gladys.hamilton@sakilacustomer.org,1177 Jelets Way,Kwara & Kogi,Ilorin,Nigeria,3305.0,484293000000.0,t,2006-02-14,1
104,Rita,Graham,rita.graham@sakilacustomer.org,1386 Yangor Avenue,Provence-Alpes-Cte,Toulon,France,80720.0,449216000000.0,t,2006-02-14,1
105,Dawn,Sullivan,dawn.sullivan@sakilacustomer.org,454 Nakhon Sawan Boulevard,Funafuti,Funafuti,Tuvalu,76383.0,963887000000.0,t,2006-02-14,1
106,Connie,Wallace,connie.wallace@sakilacustomer.org,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,Ivanovo,Russian Federation,78311.0,547003000000.0,t,2006-02-14,1
107,Florence,Woods,florence.woods@sakilacustomer.org,1532 Dzerzinsk Way,Buenos Aires,Merlo,Argentina,9599.0,330838000000.0,t,2006-02-14,1
108,Tracy,Cole,tracy.cole@sakilacustomer.org,1002 Ahmadnagar Manor,Mxico,Huixquilucan,Mexico,93026.0,371491000000.0,t,2006-02-14,1
109,Edna,West,edna.west@sakilacustomer.org,682 Junan Way,North West,Klerksdorp,South Africa,30418.0,622255000000.0,t,2006-02-14,1
110,Tiffany,Jordan,tiffany.jordan@sakilacustomer.org,804 Elista Drive,Hubei,Enshi,China,61069.0,379805000000.0,t,2006-02-14,1
111,Carmen,Owens,carmen.owens@sakilacustomer.org,1378 Alvorada Avenue,Distrito Federal,Caracas,Venezuela,75834.0,272234000000.0,t,2006-02-14,1
112,Rosa,Reynolds,rosa.reynolds@sakilacustomer.org,793 Cam Ranh Avenue,California,Lancaster,United States,87057.0,824371000000.0,t,2006-02-14,1
113,Cindy,Fisher,cindy.fisher@sakilacustomer.org,1079 Tel Aviv-Jaffa Boulevard,Sucre,Cuman,Venezuela,10885.0,358179000000.0,t,2006-02-14,1
114,Grace,Ellis,grace.ellis@sakilacustomer.org,442 Rae Bareli Place,Nordrhein-Westfalen,Duisburg,Germany,24321.0,886636000000.0,t,2006-02-14,1
115,Wendy,Harrison,wendy.harrison@sakilacustomer.org,1107 Nakhon Sawan Avenue,Mxico,Nezahualcyotl,Mexico,75149.0,867547000000.0,t,2006-02-14,1
116,Victoria,Gibson,victoria.gibson@sakilacustomer.org,544 Malm Parkway,Central Java,Pemalang,Indonesia,63502.0,386760000000.0,t,2006-02-14,1
117,Edith,Mcdonald,edith.mcdonald@sakilacustomer.org,1967 Sincelejo Place,Gujarat,Gandhinagar,India,73644.0,577813000000.0,t,2006-02-14,1
118,Kim,Cruz,kim.cruz@sakilacustomer.org,333 Goinia Way,Texas,Grand Prairie,United States,78625.0,909029000000.0,t,2006-02-14,1
119,Sherry,Marshall,sherry.marshall@sakilacustomer.org,1987 Coacalco de Berriozbal Loop,al-Qalyubiya,Shubra al-Khayma,Egypt,96065.0,787654000000.0,t,2006-02-14,1
120,Sylvia,Ortiz,sylvia.ortiz@sakilacustomer.org,241 Mosul Lane,Risaralda,Dos Quebradas,Colombia,76157.0,765345000000.0,t,2006-02-14,1
121,Josephine,Gomez,josephine.gomez@sakilacustomer.org,211 Chiayi Drive,Uttar Pradesh,Etawah,India,58186.0,665994000000.0,t,2006-02-14,1
122,Thelma,Murray,thelma.murray@sakilacustomer.org,1175 Tanauan Way,Lima,Lima,Peru,64615.0,937223000000.0,t,2006-02-14,1
123,Shannon,Freeman,shannon.freeman@sakilacustomer.org,117 Boa Vista Way,Uttar Pradesh,Varanasi (Benares),India,6804.0,677976000000.0,t,2006-02-14,1
124,Sheila,Wells,sheila.wells@sakilacustomer.org,848 Tafuna Manor,Ktahya,Ktahya,Turkey,45142.0,614935000000.0,t,2006-02-14,0
125,Ethel,Webb,ethel.webb@sakilacustomer.org,569 Baicheng Lane,Gauteng,Boksburg,South Africa,60304.0,490212000000.0,t,2006-02-14,1
126,Ellen,Simpson,ellen.simpson@sakilacustomer.org,1666 Qomsheh Drive,So Paulo,Po,Brazil,66255.0,582835000000.0,t,2006-02-14,1
127,Elaine,Stevens,elaine.stevens@sakilacustomer.org,801 Hagonoy Drive,Smolensk,Smolensk,Russian Federation,8439.0,237426000000.0,t,2006-02-14,1
128,Marjorie,Tucker,marjorie.tucker@sakilacustomer.org,1050 Garden Grove Avenue,Slaskie,Jastrzebie-Zdrj,Poland,4999.0,973047000000.0,t,2006-02-14,1
129,Carrie,Porter,carrie.porter@sakilacustomer.org,1854 Tieli Street,Shandong,Liaocheng,China,15819.0,509492000000.0,t,2006-02-14,1
130,Charlotte,Hunter,charlotte.hunter@sakilacustomer.org,758 Junan Lane,Gois,guas Lindas de Gois,Brazil,82639.0,935449000000.0,t,2006-02-14,1
131,Monica,Hicks,monica.hicks@sakilacustomer.org,1752 So Leopoldo Parkway,Taka-Karpatia,Mukateve,Ukraine,14014.0,252265000000.0,t,2006-02-14,1
132,Esther,Crawford,esther.crawford@sakilacustomer.org,898 Belm Manor,Free State,Botshabelo,South Africa,49757.0,707169000000.0,t,2006-02-14,1
133,Pauline,Henry,pauline.henry@sakilacustomer.org,261 Saint Louis Way,Coahuila de Zaragoza,Torren,Mexico,83401.0,321944000000.0,t,2006-02-14,1
134,Emma,Boyd,emma.boyd@sakilacustomer.org,765 Southampton Drive,al-Qalyubiya,Qalyub,Egypt,4285.0,23712400000.0,t,2006-02-14,1
135,Juanita,Mason,juanita.mason@sakilacustomer.org,943 Johannesburg Avenue,Maharashtra,Pune,India,5892.0,90921000000.0,t,2006-02-14,1
136,Anita,Morales,anita.morales@sakilacustomer.org,788 Atinsk Street,Karnataka,Hubli-Dharwad,India,81691.0,146498000000.0,t,2006-02-14,1
137,Rhonda,Kennedy,rhonda.kennedy@sakilacustomer.org,1749 Daxian Place,Gelderland,Apeldoorn,Netherlands,11044.0,963370000000.0,t,2006-02-14,1
138,Hazel,Warren,hazel.warren@sakilacustomer.org,1587 Sullana Lane,Inner Mongolia,Hohhot,China,85769.0,468060000000.0,t,2006-02-14,1
139,Amber,Dixon,amber.dixon@sakilacustomer.org,1029 Dzerzinsk Manor,Ynlin,Touliu,Taiwan,57519.0,33173600000.0,t,2006-02-14,1
140,Eva,Ramos,eva.ramos@sakilacustomer.org,1666 Beni-Mellal Place,Tennessee,Clarksville,United States,13377.0,9099940000.0,t,2006-02-14,1
141,Debbie,Reyes,debbie.reyes@sakilacustomer.org,928 Jaffna Loop,Hiroshima,Fukuyama,Japan,93762.0,581852000000.0,t,2006-02-14,1
142,April,Burns,april.burns@sakilacustomer.org,483 Ljubertsy Parkway,Scotland,Dundee,United Kingdom,60562.0,581174000000.0,t,2006-02-14,1
143,Leslie,Gordon,leslie.gordon@sakilacustomer.org,374 Bat Yam Boulevard,Kilis,Kilis,Turkey,97700.0,923262000000.0,t,2006-02-14,1
144,Clara,Shaw,clara.shaw@sakilacustomer.org,1027 Songkhla Manor,Minsk,Molodetno,Belarus,30861.0,563660000000.0,t,2006-02-14,1
145,Lucille,Holmes,lucille.holmes@sakilacustomer.org,999 Sanaa Loop,Gauteng,Soshanguve,South Africa,3439.0,918032000000.0,t,2006-02-14,1
146,Jamie,Rice,jamie.rice@sakilacustomer.org,879 Newcastle Way,Michigan,Sterling Heights,United States,90732.0,206841000000.0,t,2006-02-14,1
147,Joanne,Robertson,joanne.robertson@sakilacustomer.org,1337 Lincoln Parkway,Saitama,Urawa,Japan,99457.0,597815000000.0,t,2006-02-14,1
148,Eleanor,Hunt,eleanor.hunt@sakilacustomer.org,1952 Pune Lane,Saint-Denis,Saint-Denis,Runion,92150.0,354615000000.0,t,2006-02-14,1
149,Valerie,Black,valerie.black@sakilacustomer.org,782 Mosul Street,Massachusetts,Brockton,United States,25545.0,885900000000.0,t,2006-02-14,1
150,Danielle,Daniels,danielle.daniels@sakilacustomer.org,781 Shimonoseki Drive,Michoacn de Ocampo,Hidalgo,Mexico,95444.0,632316000000.0,t,2006-02-14,1
151,Megan,Palmer,megan.palmer@sakilacustomer.org,1560 Jelets Boulevard,Shandong,Laiwu,China,77777.0,189446000000.0,t,2006-02-14,1
152,Alicia,Mills,alicia.mills@sakilacustomer.org,1963 Moscow Place,Assam,Nagaon,India,64863.0,761379000000.0,t,2006-02-14,1
153,Suzanne,Nichols,suzanne.nichols@sakilacustomer.org,456 Escobar Way,Jakarta Raya,Jakarta,Indonesia,36061.0,719203000000.0,t,2006-02-14,1
154,Michele,Grant,michele.grant@sakilacustomer.org,798 Cianjur Avenue,Shanxi,Yuncheng,China,76990.0,499409000000.0,t,2006-02-14,1
155,Gail,Knight,gail.knight@sakilacustomer.org,185 Novi Sad Place,Bern,Bern,Switzerland,41778.0,904254000000.0,t,2006-02-14,1
156,Bertha,Ferguson,bertha.ferguson@sakilacustomer.org,1367 Yantai Manor,Ondo & Ekiti,Ondo,Nigeria,21294.0,889538000000.0,t,2006-02-14,1
157,Darlene,Rose,darlene.rose@sakilacustomer.org,1386 Nakhon Sawan Boulevard,Pyongyang-si,Pyongyang,North Korea,53502.0,368899000000.0,t,2006-02-14,1
158,Veronica,Stone,veronica.stone@sakilacustomer.org,369 Papeete Way,North Carolina,Greensboro,United States,66639.0,170117000000.0,t,2006-02-14,1
159,Jill,Hawkins,jill.hawkins@sakilacustomer.org,1440 Compton Place,North Austria,Linz,Austria,81037.0,931060000000.0,t,2006-02-14,1
160,Erin,Dunn,erin.dunn@sakilacustomer.org,1623 Baha Blanca Manor,Moskova,Ljubertsy,Russian Federation,81511.0,149981000000.0,t,2006-02-14,1
161,Geraldine,Perkins,geraldine.perkins@sakilacustomer.org,97 Shimoga Avenue,Tel Aviv,Tel Aviv-Jaffa,Israel,44660.0,177167000000.0,t,2006-02-14,1
162,Lauren,Hudson,lauren.hudson@sakilacustomer.org,1740 Le Mans Loop,Pays de la Loire,Le Mans,France,22853.0,168477000000.0,t,2006-02-14,1
163,Cathy,Spencer,cathy.spencer@sakilacustomer.org,1287 Xiangfan Boulevard,Gifu,Kakamigahara,Japan,57844.0,819416000000.0,t,2006-02-14,1
164,Joann,Gardner,joann.gardner@sakilacustomer.org,842 Salzburg Lane,Adana,Tarsus,Turkey,3313.0,697151000000.0,t,2006-02-14,1
165,Lorraine,Stephens,lorraine.stephens@sakilacustomer.org,154 Tallahassee Loop,Xinxiang,Hami,China,62250.0,935509000000.0,t,2006-02-14,1
166,Lynn,Payne,lynn.payne@sakilacustomer.org,710 San Felipe del Progreso Avenue,Lilongwe,Lilongwe,Malawi,76901.0,843801000000.0,t,2006-02-14,1
167,Sally,Pierce,sally.pierce@sakilacustomer.org,1540 Wroclaw Drive,Maharashtra,Chandrapur,India,62686.0,182363000000.0,t,2006-02-14,1
168,Regina,Berry,regina.berry@sakilacustomer.org,475 Atinsk Way,Gansu,Jinchang,China,59571.0,201706000000.0,t,2006-02-14,1
169,Erica,Matthews,erica.matthews@sakilacustomer.org,1294 Firozabad Drive,Jiangxi,Pingxiang,China,70618.0,161802000000.0,t,2006-02-14,0
170,Beatrice,Arnold,beatrice.arnold@sakilacustomer.org,1877 Ezhou Lane,Rajasthan,Udaipur,India,63337.0,264542000000.0,t,2006-02-14,1
